buy_month	sell_month	pints_purchased	expected_profit
7	12	245595	134884.07131103353
6	12	237776	98753.44682988775
8	12	233781	80290.43907892129
7	11	251779	64920.485945909604
9	12	230114	63346.6398293705
6	11	243568	30191.475708231294
10	12	220259	17807.536643767664
8	11	239377	12465.94982908665
5	12	218922	11632.111194075238
9	11	235534	-3787.9976530234826
7	10	258282	-37617.471871680405
10	11	225220	-47412.89863854726
5	11	223822	-53321.72715403613
4	12	201855	-67235.12026289206
6	10	249648	-69785.86482952934
11	12	200018	-75724.30652338965
3	12	200009	-75766.90975446953
7	9	265129	-82358.86798668734
8	10	245247	-86183.5787609259
7	8	272350	-98585.32808673955
9	10	241215	-101207.70132864045
6	9	256040	-113817.2183769912
4	11	206014	-128645.96734251973
8	9	251413	-129831.54100893682
6	8	262768	-130299.38880979121
3	11	204091	-136778.48682369053
5	10	228947	-146920.967726199
3	4	238108	-152659.35683220287
2	12	180427	-166252.02615363873
6	7	269859	-181093.14018291302
5	9	234311	-189022.6210340163
5	8	239933	-205876.9373871329
4	10	210347	-216225.06563305698
2	11	183742	-222842.81894145833
1	2	198807	-223030.47867262983
3	10	208343	-223692.85574261652
4	5	235070	-224022.06046541856
5	6	252027	-227517.53909850077
3	5	232570	-232275.27946299125
1	12	165837	-233671.30180297146
2	3	215406	-243967.9307527805
2	4	210864	-249611.09232663864
5	7	245832	-254006.78221298175
4	9	214867	-256322.71223996
3	9	212776	-263558.7996314258
4	8	219585	-273225.20800511213
3	8	217402	-280451.0156613587
1	11	168634	-286746.66068499064
4	6	229671	-296039.1363403479
2	10	187182	-302541.3124136814
3	6	227284	-303356.3510363339
1	3	194932	-315829.0809815618
2	5	206509	-318303.01466935384
4	7	224515	-318693.0581815626
1	4	191204	-319570.6130199393
3	7	222233	-325616.81853774673
2	9	190752	-339784.03998879105
2	8	194462	-356376.9372287801
1	10	171526	-360873.6215578926
2	6	202331	-379840.1860260517
1	5	187617	-380666.87919094844
1	9	174520	-395967.1039449883
2	7	198318	-398187.5675176455
1	8	177620	-412120.2692097825
1	6	184162	-435529.5505151146
1	7	180832	-451253.442427906
